2020,1,7,20
2020,1,7,37
2020,1,7,84
2020,1,14,24
2020,1,14,3
2020,1,14,23
2020,1,14,23
2020,1,21,16
2020,1,21,7
2020,1,21,96
2020,1,21,99
2020,1,28,8
2020,1,28,26
2020,1,28,32
2020,2,4,79
2020,2,4,3
2020,2,4,89
2020,2,11,86
2020,2,11,87
2020,2,11,62
2020,2,18,14
2020,2,18,25
2020,2,18,74
2020,2,18,81
2020,2,25,49
2020,2,25,68
2020,2,25,42
2020,2,25,23
2020,2,25,44
2020,2,25,85
2020,3,4,27
2020,3,4,8
2020,3,4,78
2020,3,4,84
2020,3,4,91
2020,3,11,17
2020,3,11,80
2020,3,11,6
2020,3,11,31
2020,3,18,46
2020,3,18,11
2020,3,25,11
2020,3,25,61
2020,3,25,5
2020,3,25,69
2020,4,1,84
2020,4,1,9
2020,4,1,39
2020,4,8,99
2020,4,8,55
2020,4,8,77
2020,4,8,28
2020,4,15,85
2020,4,15,50
2020,4,22,47
2020,4,29,63
2020,4,29,30
2020,5,6,97
2020,5,6,8
2020,5,6,31
2020,5,6,94
2020,5,6,20
2020,5,13,49
2020,5,13,59
2020,5,13,23
2020,5,13,40
2020,5,20,76
2020,5,20,82
2020,5,20,87
2020,5,20,97
2020,5,27,42
2020,5,27,61
2020,5,27,89
2020,5,27,17
2020,5,27,1
2020,6,3,72
2020,6,3,45
2020,6,3,46
2020,6,3,45
2020,6,10,36
2020,6,10,68
2020,6,10,5
2020,6,17,67
2020,6,24,35
2020,6,24,46
2020,6,24,50
2020,7,1,92
2020,7,1,52
2020,7,1,70
2020,7,1,48
2020,7,8,55
2020,7,8,96
2020,7,8,56
2020,7,8,94
2020,7,8,7
2020,7,15,13
2020,7,15,74
2020,7,15,88
2020,7,15,30
2020,7,22,17
2020,7,22,10
2020,7,22,53
2020,7,22,50
2020,7,22,59
2020,7,22,16
2020,7,29,75
2020,7,29,45
2020,7,29,48
2020,8,5,94
2020,8,5,61
2020,8,5,59
2020,8,5,28
2020,8,12,27
2020,8,12,72
2020,8,19,61
2020,8,19,56
2020,8,19,3
2020,8,26,53
2020,9,2,9
2020,9,2,42
2020,9,2,60
2020,9,2,40
2020,9,9,30
2020,9,9,48
2020,9,16,71
2020,9,16,15
2020,9,16,10
2020,9,23,58
2020,9,23,32
2020,9,23,85
2020,9,23,97
2020,9,30,89
2020,9,30,69
2020,9,30,55
2020,9,30,17
2020,10,7,90
2020,10,7,72
2020,10,7,48
2020,10,7,75
2020,10,7,74
2020,10,14,44
2020,10,14,59
2020,10,14,58
2020,10,21,73
2020,10,21,9
2020,10,21,34
2020,10,21,2
2020,10,21,81
2020,10,28,29
2020,10,28,50
2020,10,28,73
2020,10,28,80
2020,11,4,50
2020,11,4,59
2020,11,4,37
2020,11,4,1
2020,11,11,16
2020,11,18,93
2020,11,18,86
2020,11,25,43
2020,12,2,29
2020,12,2,18
2020,12,2,70
2020,12,9,51
2020,12,16,98
2020,12,16,72
2020,12,23,50
2020,12,30,11
